,station_id,name,lat,lon,address,capacity
0,7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,Fort York  Blvd / Capreol Ct,35
1,7001,Wellesley Station Green P,43.66496415990742,-79.38355031526893,Yonge / Wellesley,26
2,7002,St. George St / Bloor St W,43.667333,-79.399429,St. George St / Bloor St W,19
3,7003,Madison Ave / Bloor St W,43.667158,-79.402761,Madison Ave / Bloor St W,15
4,7004,University Ave / Elm St,43.656518,-79.389099,University Ave / Elm St,11
5,7005,King St W / York St,43.6480008,-79.383177,King St W / York St,19
6,7006,Bay St / College St (East Side),43.660439,-79.385525,Bay St / College St (East Side),19
7,7007,College St / Huron St,43.658148,-79.398167,College St / Huron St,18
8,7008,Wellesley St / Queen's Park Cres,43.663376,-79.392125,Wellesley St W / Queen's Park Cres,19
9,7009,King St E / Jarvis St,43.650325,-79.372287,King St E / Jarvis St,25
10,7010,King St W / Spadina Ave,43.645323,-79.395003,King St W / Spadina Ave,19
11,7012,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,Elizabeth St / Edward St (Bus Terminal),15
12,7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,Sherbourne St / Carlton St (Allan Gardens),17
13,7015,King St W / Bay St (West Side),43.64852,-79.380576,King St W / Bay St (West Side),39
14,7016,Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785,Bay St / Queens Quay W (Ferry Terminal),23
15,7018,Bremner Blvd / Rees St,43.641529,-79.386741,Bremner Blvd / Rees St,23
16,7020,Phoebe St / Spadina Ave,43.650033,-79.396555,Phoebe St / Spadina Ave,33
17,7021,Bay St / Albert St,43.653264,-79.382458,Bay St / Albert St,35
18,7022,Simcoe St / Queen St W,43.65049,-79.3873,Simcoe St / Queen St W,39
19,7023,College St / Borden St,43.6571,-79.4056,College St / Borden St,11
20,7024,Dundonald St / Church St,43.66663,-79.38148,Dundonald St / Church St,36
21,7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471,Ted Rogers Way / Bloor St E,19
22,7026,Bay St / St. Joseph St,43.665527,-79.387499,Bay St / St. Joseph St,15
23,7027,Beverley  St / Dundas St W,43.652823,-79.393388,Beverley  St / Dundas St W,31
24,7028,Gould St / Mutual St,43.6582,-79.3768,Gould St / Mutual St,31
25,7029,Bay St / Bloor St W (East Side),43.66943,-79.38915,1199 Bay St,15
26,7030,Bay St / Wellesley St W,43.664088,-79.387095,Bay St / Wellesley St W,51
27,7031,Jarvis St / Isabella St,43.668991,-79.379385,Jarvis St / Isabella St,23
28,7032,Augusta Ave / Dundas St W,43.652473,-79.401456,Augusta Ave / Dundas St W,15
29,7033,Union Station,43.645609,-79.380386,Union Station,42
30,7034,Church St / Bloor St E,43.671389,-79.382919,Church St / Bloor St E,15
31,7035,Queen St W / Ossington Ave,43.643975,-79.419576,Queen St W / Ossington Ave,23
32,7036,Trinity St /Front St E,43.651318,-79.36023,Trinity St / Front St E,19
33,7037,Bathurst St / Dundas St W,43.6519501,-79.4060978,Bathurst St / Dundas St W,27
34,7038,Dundas St W / Yonge St,43.656094,-79.381484,Dundas St W / Yonge St,15
35,7039,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,Simcoe St / Michael Sweet Ave,19
36,7040,Euclid Ave / Bloor St W,43.664467,-79.414783,Euclid Ave / Bloor St W,19
37,7041,Edward St / Yonge St,43.656729,-79.382736,Edward St / Yonge St,23
38,7042,Sherbourne St / Wellesley St E,43.6673,-79.374,Sherbourne St / Wellesley St E,31
39,7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,Queens Quay W / Lower Simcoe St,19
40,7044,Church St / Alexander St,43.663722,-79.380288,Church St / Alexander St,15
41,7045,Bond St / Queen St E,43.653236,-79.376716,Bond St / Queen St E,25
42,7046,Niagara St / Richmond St W,43.64534,-79.409597,Niagara St / Richmond St W,26
43,7047,University Ave / Gerrard St W (East Side),43.657763,-79.389165,University Ave / Gerrard St W,25
44,7048,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,Front St W / Yonge St (Hockey Hall of Fame),47
45,7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222,Richmond St E / Jarvis St Green P,16
46,7052,Wellington St W / Bay St,43.647259,-79.379878,Wellington St W / Bay St,27
47,7053,Metro Hall Plaza,43.645859,-79.38783,Metro Hall Plaza,27
48,7054,Navy Wharf Ct. / Bremner Blvd.,43.640722,-79.391051,Navy Wharf Ct. / Bremner Blvd.,11
49,7055,Jarvis St / Carlton St,43.66207,-79.37617,Jarvis St / Carlton St,15
50,7056,Parliament St / Gerrard St,43.662132,-79.36567959999999,Parliament St / Gerrard St,23
51,7057,Simcoe St / Wellington St South,43.6458569,-79.3853654,Simcoe St / Wellington St 1,27
52,7058,Huron/ Harbord St,43.6637,-79.400053,Huron/ Harbord St,18
53,7059,Front St W / Blue Jays Way,43.643473,-79.390477,Front St W / Blue Jays Way,15
54,7060,Princess St / Adelaide St E,43.652123,-79.367139,Princess St / Adelaide St E,19
55,7061,Dalton Rd / Bloor St W,43.6662942,-79.4066433,Dalton Rd / Bloor St W,15
56,7062,University Ave / College St (West),43.659226,-79.390213,University Ave / College St (West),11
57,7063,Queen's Park / Bloor St W,43.668456,-79.393899,Queen's Park / Bloor St W,19
58,7064,51 Parliament St,43.65205,-79.362198,51 Parliament St,19
59,7065,Dundas St E / Parliament St,43.659575,-79.365769,Dundas St E / Parliament St,15
60,7066,Willcocks St / St. George St,43.662085,-79.397735,Willcocks St / St. George St,17
61,7067,Yonge St / Harbour St,43.643795,-79.375413,Yonge St / Harbour St,39
62,7068,Blantyre Park,43.68306889999999,-79.279682,163 Fallingbrook Rd,22
63,7069,Queen St W / Spadina Ave,43.649147,-79.395504,Queen St W / Spadina Ave,11
64,7070,25 York St – Union Station South,43.643667,-79.380414,25 York St – Union Station South,11
